@1397848258473 | OLTP Data Parser: Initiated
@1397848258476 | Citi account 0: Created with balance $45993.60143385941
@1397848258476 | Citi account 1: Created with balance $46162.52978727095
@1397848258477 | Citi account 2: Created with balance $42727.951720316705
@1397848258477 | Citi account 3: Created with balance $59834.06634949006
@1397848258478 | Citi account 4: Created with balance $19344.014756888588
@1397848258479 | Citi account 5: Created with balance $24432.367697719703
@1397848258480 | Citi account 6: Created with balance $64154.25114502842
@1397848258480 | Citi account 7: Created with balance $59097.54834260548
@1397848258481 | Citi account 8: Created with balance $57784.29025475665
@1397848258481 | Citi account 9: Created with balance $39449.558318281765
@1397848258482 | Citi account 10: Created with balance $30352.296820577405
@1397848258483 | Citi account 11: Created with balance $22902.33826492652
@1397848258483 | Citi account 12: Created with balance $24236.295505120477
@1397848258484 | Citi account 13: Created with balance $20659.283666233878
@1397848258485 | Citi account 14: Created with balance $63549.264810149376
@1397848258485 | Citi account 15: Created with balance $29209.734622549644
@1397848258486 | Citi account 16: Created with balance $23352.11298084284
@1397848258487 | Citi account 17: Created with balance $51700.74519618956
@1397848258487 | Citi account 18: Created with balance $53834.12296770406
@1397848258488 | Citi account 19: Created with balance $46459.561723173814
@1397848258489 | Citi account 20: Created with balance $41224.532479191126
@1397848258490 | Citi account 21: Created with balance $58736.88698701859
@1397848258490 | Citi account 22: Created with balance $56938.06346882786
@1397848258491 | Citi account 23: Created with balance $57195.93704063215
@1397848258492 | Citi account 24: Created with balance $49265.71714820769
@1397848258493 | Citi account 25: Created with balance $54237.198627233614
@1397848258494 | Citi account 26: Created with balance $28840.603537345796
@1397848258496 | Citi account 27: Created with balance $44182.46016569648
@1397848258497 | Citi account 28: Created with balance $18734.83395710224
@1397848258498 | Chase account 0: Created with balance $23644.30895940226
@1397848258499 | Chase account 1: Created with balance $59931.15676496568
@1397848258500 | Chase account 2: Created with balance $56107.84983815313
@1397848258501 | Chase account 3: Created with balance $47962.63848069456
@1397848258502 | Chase account 4: Created with balance $22362.58697420564
@1397848258503 | Chase account 5: Created with balance $16467.763605997836
@1397848258504 | Chase account 6: Created with balance $28974.315534112648
@1397848258505 | Chase account 7: Created with balance $55590.19719364348
@1397848258506 | Chase account 8: Created with balance $38557.13368832803
@1397848258507 | Chase account 9: Created with balance $56766.406739867576
@1397848258508 | Chase account 10: Created with balance $25535.26930292273
@1397848258510 | Chase account 11: Created with balance $31571.512723681426
@1397848258511 | Chase account 12: Created with balance $38814.153072480476
@1397848258513 | Chase account 13: Created with balance $59459.477571032665
@1397848258514 | Chase account 14: Created with balance $59783.81529037471
@1397848258516 | Chase account 15: Created with balance $35997.01357292275
@1397848258517 | Chase account 16: Created with balance $52282.03388542213
@1397848258518 | Chase account 17: Created with balance $48336.91501127926
@1397848258520 | Chase account 18: Created with balance $20060.41068170232
@1397848258521 | Chase account 19: Created with balance $36289.369445568256
@1397848258522 | Chase account 20: Created with balance $17293.099065427672
@1397848258524 | Chase account 21: Created with balance $56364.91662388595
@1397848258525 | Chase account 22: Created with balance $40917.085316664
@1397848258527 | Chase account 23: Created with balance $32538.42096571203
@1397848258528 | Chase account 24: Created with balance $49454.14436918246
@1397848258530 | Chase account 25: Created with balance $43954.47794206919
@1397848258532 | Chase account 26: Created with balance $61186.46202922313
@1397848258533 | Chase account 27: Created with balance $48552.013007645066
@1397848258535 | Chase account 28: Created with balance $44028.43578640088
@1397848258536 | Chase account 29: Created with balance $18969.772161963923
@1397848258538 | Chase account 30: Created with balance $26099.345987895817
@1397848258539 | Chase account 31: Created with balance $54936.07634807651
@1397848258541 | Chase account 32: Created with balance $38762.327896325696
@1397848258543 | Chase account 33: Created with balance $43186.880943189135
@1397848258545 | Chase account 34: Created with balance $61579.42901301213
@1397848258547 | Chase account 35: Created with balance $22681.6788612252
@1397848258548 | Chase account 36: Created with balance $32284.691825547667
@1397848258550 | Chase account 37: Created with balance $27723.807999054836
@1397848258552 | Chase account 38: Created with balance $53513.44507572763
@1397848258553 | Chase account 39: Created with balance $41187.478420298816
@1397848258555 | Chase account 40: Created with balance $48888.44077346328
@1397848258557 | Chase account 41: Created with balance $45307.398930220275
@1397848258559 | Chase account 42: Created with balance $39151.244231811186
@1397848258561 | Wells Fargo account 0: Created with balance $43552.73993154306
@1397848258563 | Wells Fargo account 1: Created with balance $41868.29992296119
@1397848258565 | Wells Fargo account 2: Created with balance $49510.81849777466
@1397848258567 | Wells Fargo account 3: Created with balance $27611.569322823016
@1397848258569 | Wells Fargo account 4: Created with balance $59397.64950604203
@1397848258571 | Wells Fargo account 5: Created with balance $32760.74221106504
@1397848258572 | Wells Fargo account 6: Created with balance $57577.90109970816
@1397848258574 | Wells Fargo account 7: Created with balance $51556.82592679136
@1397848258576 | Wells Fargo account 8: Created with balance $44342.58207869044
@1397848258579 | Wells Fargo account 9: Created with balance $17484.228161033512
@1397848258581 | Wells Fargo account 10: Created with balance $27911.263846843613
@1397848258583 | Wells Fargo account 11: Created with balance $60201.41043147225
@1397848258585 | Wells Fargo account 12: Created with balance $33835.80605600734
@1397848258587 | Wells Fargo account 13: Created with balance $36753.19904676486
@1397848258589 | Wells Fargo account 14: Created with balance $48285.91336250402
@1397848258591 | Wells Fargo account 15: Created with balance $34981.577917523835
@1397848258594 | Wells Fargo account 16: Created with balance $28648.278090945365
@1397848258596 | Wells Fargo account 17: Created with balance $57338.58700671041
@1397848258599 | Wells Fargo account 18: Created with balance $30765.623142564815
@1397848258601 | Wells Fargo account 19: Created with balance $16103.92357207535
@1397848258603 | Wells Fargo account 20: Created with balance $22593.61239177724
@1397848258605 | Wells Fargo account 21: Created with balance $61994.794597746
@1397848258607 | Wells Fargo account 22: Created with balance $27948.09208676989
@1397848258609 | Wells Fargo account 23: Created with balance $38804.33298141857
@1397848258612 | Wells Fargo account 24: Created with balance $60280.82094060896
@1397848258614 | Wells Fargo account 25: Created with balance $40899.08191906567
@1397848258616 | Wells Fargo account 26: Created with balance $40415.12130293231
@1397848258618 | Wells Fargo account 27: Created with balance $52318.94326143822
@1397848258621 | Wells Fargo account 28: Created with balance $29639.78579642452
@1397848258623 | Wells Fargo account 29: Created with balance $61065.53516162783
@1397848258625 | Wells Fargo account 30: Created with balance $26206.64115289136
@1397848258628 | Wells Fargo account 31: Created with balance $22552.678358183006
@1397848258630 | Wells Fargo account 32: Created with balance $22866.020132961476
@1397848258633 | Wells Fargo account 33: Created with balance $18864.571197948895
@1397848258635 | Wells Fargo account 34: Created with balance $18506.45473646081
@1397848258637 | Wells Fargo account 35: Created with balance $41701.19583375778
@1397848258640 | Wells Fargo account 36: Created with balance $57089.21941397952
@1397848258642 | Wells Fargo account 37: Created with balance $18622.270259312092
@1397848258646 | Wells Fargo account 38: Created with balance $15896.492215403438
@1397848258648 | Wells Fargo account 39: Created with balance $39109.186995642194
@1397848258651 | Wells Fargo account 40: Created with balance $47669.95313426289
@1397848258653 | Wells Fargo account 41: Created with balance $25470.748572296543
@1397848258656 | Wells Fargo account 42: Created with balance $35717.11621119327
@1397848258659 | Wells Fargo account 43: Created with balance $34936.663298913176
@1397848258662 | Wells Fargo account 44: Created with balance $46759.03075513001
@1397848258664 | Wells Fargo account 45: Created with balance $40436.623177550064
@1397848258667 | Wells Fargo account 46: Created with balance $64764.81098103157
@1397848258669 | Wells Fargo account 47: Created with balance $64068.1287679244
@1397848258672 | Wells Fargo account 48: Created with balance $35366.04979398338
@1397848258675 | Wells Fargo account 49: Created with balance $28519.148452989662
@1397848258677 | Wells Fargo account 50: Created with balance $27654.673357424344
@1397848258681 | Wells Fargo account 51: Created with balance $46393.3397571548
@1397848258685 | Wells Fargo account 52: Created with balance $28376.61863066002
@1397848258688 | Wells Fargo account 53: Created with balance $34490.08513697586
@1397848258691 | ???????????? ???????? account 0: Created with balance $63326.87348106647
@1397848258694 | ???????????? ???????? account 1: Created with balance $31750.75623361211
@1397848258697 | ???????????? ???????? account 2: Created with balance $38377.73601081852
@1397848258700 | ???????????? ???????? account 3: Created with balance $22337.46207213088
@1397848258703 | ???????????? ???????? account 4: Created with balance $56681.548223855214
@1397848258706 | ???????????? ???????? account 5: Created with balance $44714.513580678875
@1397848258709 | ???????????? ???????? account 6: Created with balance $25364.361922130403
@1397848258712 | ???????????? ???????? account 7: Created with balance $21598.3449178861
@1397848258715 | ???????????? ???????? account 8: Created with balance $25556.38202673269
@1397848258719 | ???????????? ???????? account 9: Created with balance $51766.05321953991
@1397848258722 | ???????????? ???????? account 10: Created with balance $46686.323656265595
@1397848258725 | ???????????? ???????? account 11: Created with balance $45209.18390344706
@1397848258728 | ???????????? ???????? account 12: Created with balance $28651.446498048408
@1397848258731 | ???????????? ???????? account 13: Created with balance $23379.6540489142
@1397848258734 | ???????????? ???????? account 14: Created with balance $27196.560385341814
@1397848258737 | ???????????? ???????? account 15: Created with balance $58642.000069990325
@1397848258740 | ???????????? ???????? account 16: Created with balance $48681.232459134146
@1397848258744 | ???????????? ???????? account 17: Created with balance $30381.25673696138
@1397848258747 | ???????????? ???????? account 18: Created with balance $51762.332062260066
@1397848258750 | ???????????? ???????? account 19: Created with balance $40690.35702127301
@1397848258753 | ???????????? ???????? account 20: Created with balance $38870.34284202689
@1397848258756 | ???????????? ???????? account 21: Created with balance $57330.360294028986
@1397848258760 | ???????????? ???????? account 22: Created with balance $58218.79250604818
@1397848258763 | ???????????? ???????? account 23: Created with balance $61410.1686157669
@1397848258766 | ???????????? ???????? account 24: Created with balance $47028.87893178408
@1397848258769 | ???????????? ???????? account 25: Created with balance $15191.703765123491
@1397848258772 | ???????????? ???????? account 26: Created with balance $37760.71069296662
